,Date,adj_close,close,low,high,open,volume
1557,2021-08-13,17.801057815551758,17.801057815551758,16.57939338684082,17.81566047668457,16.601835250854492,333589151.0
1558,2021-08-14,17.402936935424805,17.402936935424805,16.89825439453125,17.8514404296875,17.794876098632812,283231426.0
1559,2021-08-15,19.28481674194336,19.28481674194336,16.54008674621582,19.63394546508789,17.399696350097656,470777037.0
1560,2021-08-16,22.000459671020508,22.000459671020508,19.19137382507324,23.83295440673828,19.26948928833008,1445575643.0
1561,2021-08-17,25.23495864868164,25.23495864868164,20.884523391723636,26.81221008300781,21.91751480102539,1941132248.0
1562,2021-08-18,30.84176445007324,30.84176445007324,22.59248161315918,31.76879501342773,25.315584182739254,2464293332.0
1563,2021-08-19,29.3968563079834,29.3968563079834,28.84646415710449,33.389007568359375,30.73016166687012,2101186296.0
1564,2021-08-20,30.65245056152344,30.65245056152344,28.73333168029785,31.383424758911133,29.41852188110352,1231612308.0
1565,2021-08-21,27.55119132995605,27.55119132995605,27.157712936401367,30.643274307250977,30.643274307250977,818005624.0
1566,2021-08-22,28.033279418945312,28.033279418945312,26.420169830322266,28.83522605895996,27.56023979187012,736460920.0
1567,2021-08-23,29.91685104370117,29.91685104370117,27.238357543945312,30.136117935180664,28.01786231994629,1071776171.0
1568,2021-08-24,29.671165466308597,29.671165466308597,29.671165466308597,34.509910583496094,30.001123428344727,2318015351.0
1569,2021-08-25,29.98959350585937,29.98959350585937,28.493749618530277,31.196781158447266,29.67173767089844,1096045146.0
1570,2021-08-26,27.009300231933597,27.009300231933597,26.19814682006836,30.0749626159668,30.074556350708008,1026422114.0
1571,2021-08-27,32.66126251220703,32.66126251220703,26.43349266052246,32.87644958496094,27.00075340270996,1582868934.0
1572,2021-08-28,34.959205627441406,34.959205627441406,30.48834228515625,35.83341979980469,32.67657470703125,1713437372.0
1573,2021-08-29,33.331241607666016,33.331241607666016,33.26133346557617,36.75778198242188,35.0406494140625,1279733853.0
1574,2021-08-30,33.468238830566406,33.468238830566406,32.2261848449707,35.92258834838867,33.32202911376953,1599656377.0
1575,2021-08-31,31.56235694885254,31.56235694885254,30.638072967529297,34.463134765625,33.3546028137207,1260620631.0
1576,2021-09-01,31.66261482238769,31.66261482238769,30.57537078857422,32.509178161621094,31.55279541015625,991867137.0
1577,2021-09-02,32.86503982543945,32.86503982543945,31.39481544494629,33.8656120300293,31.77126121520996,982030149.0
1578,2021-09-03,31.741863250732425,31.741863250732425,31.14494132995605,33.828468322753906,32.8587532043457,943267183.0
1579,2021-09-04,31.406158447265625,31.406158447265625,31.01293182373047,32.45387649536133,31.741350173950195,470370428.0
